numero de maquinas,prob. de falha,tempo de reparo,maquinas suplentes,tempo obtido
100,0.001,10,0.1,5292.7
100,0.001,10,0.2,5909.2
100,0.001,10,0.25,5255.9
100,0.001,10,0.5,6382.5
100,0.001,25,0.1,5319.0
100,0.001,25,0.2,5154.6
100,0.001,25,0.25,6126.9
100,0.001,25,0.5,6017.0
100,0.001,50,0.1,5243.0
100,0.001,50,0.2,5601.0
100,0.001,50,0.25,5310.3
100,0.001,50,0.5,5490.9
100,0.001,75,0.1,5188.8
100,0.001,75,0.2,5172.8
100,0.001,75,0.25,6083.6
100,0.001,75,0.5,6195.0
100,0.001,100,0.1,4924.1
100,0.001,100,0.2,5977.9
100,0.001,100,0.25,5424.5
100,0.001,100,0.5,5836.2
100,0.0025,10,0.1,2008.8
100,0.0025,10,0.2,2279.5
100,0.0025,10,0.25,2030.6
100,0.0025,10,0.5,2286.3
100,0.0025,25,0.1,1892.7
100,0.0025,25,0.2,2100.0
100,0.0025,25,0.25,2300.6
100,0.0025,25,0.5,2019.8
100,0.0025,50,0.1,2468.2
100,0.0025,50,0.2,2320.8
100,0.0025,50,0.25,2236.5
100,0.0025,50,0.5,2346.3
100,0.0025,75,0.1,2293.4
100,0.0025,75,0.2,2082.0
100,0.0025,75,0.25,2174.8
100,0.0025,75,0.5,2195.8
100,0.0025,100,0.1,2072.7
100,0.0025,100,0.2,2547.1
100,0.0025,100,0.25,2034.7
100,0.0025,100,0.5,2243.9
100,0.005,10,0.1,1049.5
100,0.005,10,0.2,1195.7
100,0.005,10,0.25,1191.4
100,0.005,10,0.5,1064.0
100,0.005,25,0.1,1035.3
100,0.005,25,0.2,1135.8
100,0.005,25,0.25,1129.5
100,0.005,25,0.5,1235.0
100,0.005,50,0.1,1361.8
100,0.005,50,0.2,1036.8
100,0.005,50,0.25,1087.8
100,0.005,50,0.5,1093.9
100,0.005,75,0.1,1049.3
100,0.005,75,0.2,1110.3
100,0.005,75,0.25,1124.4
100,0.005,75,0.5,1124.2
100,0.005,100,0.1,1136.0
100,0.005,100,0.2,967.9
100,0.005,100,0.25,1143.7
100,0.005,100,0.5,1026.1
100,0.0075,10,0.1,713.4
100,0.0075,10,0.2,727.1
100,0.0075,10,0.25,670.7
100,0.0075,10,0.5,685.2
100,0.0075,25,0.1,838.9
100,0.0075,25,0.2,680.1
100,0.0075,25,0.25,708.1
100,0.0075,25,0.5,740.2
100,0.0075,50,0.1,703.0
100,0.0075,50,0.2,664.4
100,0.0075,50,0.25,774.3
100,0.0075,50,0.5,677.6
100,0.0075,75,0.1,830.7
100,0.0075,75,0.2,747.0
100,0.0075,75,0.25,756.6
100,0.0075,75,0.5,759.9
100,0.0075,100,0.1,673.9
100,0.0075,100,0.2,698.2
100,0.0075,100,0.25,666.8
100,0.0075,100,0.5,778.9
100,0.01,10,0.1,563.4
100,0.01,10,0.2,521.9
100,0.01,10,0.25,489.8
100,0.01,10,0.5,500.6
100,0.01,25,0.1,504.9
100,0.01,25,0.2,534.4
100,0.01,25,0.25,531.0
100,0.01,25,0.5,601.2
100,0.01,50,0.1,481.5
100,0.01,50,0.2,602.1
100,0.01,50,0.25,518.8
100,0.01,50,0.5,523.8
100,0.01,75,0.1,483.9
100,0.01,75,0.2,548.7
100,0.01,75,0.25,553.7
100,0.01,75,0.5,610.5
100,0.01,100,0.1,579.5
100,0.01,100,0.2,528.6
100,0.01,100,0.25,543.4
100,0.01,100,0.5,587.2
